index,model1,dataset1,gpu_num1,batch_size1,speed1,co_pipeline_rank,pipeline_strategy,model2,dataset2,gpu_num2,batch_size2,speed2
79,GPT2,WikiText,2,256/8,0.41,"0,1","8,4",vgg19,ImageNet,2,32,0.69
80,GPT2,WikiText,2,256/8,0.76,"0,1","8,4",DCGAN,LSUN,2,128,0.61
81,GPT2,WikiText,2,256/8,0.91,"0,1","8,4",PointNet,ShapeNet,2,32,0.89
82,GPT2,WikiText,2,256/8,0.53,"0,1","10,2",resnet50,ImageNet,2,32,0.43
83,GPT2,WikiText,2,256/8,0.32,"0,1","10,2",vgg19,ImageNet,2,32,0.72
84,GPT2,WikiText,2,256/8,0.65,"0,1","10,2",DCGAN,LSUN,2,128,0.59
85,GPT2,WikiText,2,256/8,0.76,"0,1","10,2",PointNet,ShapeNet,2,32,0.88
86,GPT2,WikiText,2,256/8,0.41,"0,1","2,10",resnet50,ImageNet,2,32,0.73
87,GPT2,WikiText,2,256/8,0.26,"0,1","2,10",vgg19,ImageNet,2,32,0.84
88,GPT2,WikiText,2,256/8,0.47,"0,1","2,10",DCGAN,LSUN,2,128,1.0
89,GPT2,WikiText,2,256/8,0.56,"0,1","2,10",PointNet,ShapeNet,2,32,0.89
90,GPT2,WikiText,2,256/16,0.5,"0,1",TP24,resnet50,ImageNet,2,32,0.42
91,GPT2,WikiText,2,256/16,0.32,"0,1",TP24,vgg19,ImageNet,2,32,0.65
92,GPT2,WikiText,2,256/16,0.59,"0,1",TP24,DCGAN,LSUN,2,128,0.62
93,GPT2,WikiText,2,256/16,0.71,"0,1",TP24,PointNet,ShapeNet,2,32,0.89
94,GPT2,WikiText,2,256/8,0.71,"0,1",DP24,resnet50,ImageNet,2,32,0.35
95,GPT2,WikiText,2,256/8,0.44,"0,1",DP24,vgg19,ImageNet,2,32,0.63
96,GPT2,WikiText,2,256/8,0.82,"0,1",DP24,DCGAN,LSUN,2,128,0.48
97,GPT2,WikiText,2,256/8,0.94,"0,1",DP24,PointNet,ShapeNet,2,32,0.88
98,resnet50,ImageNet,2,32,0.48,"0,1",NA,resnet50,ImageNet,2,32,0.48
99,vgg19,ImageNet,2,32,0.73,"0,1",NA,resnet50,ImageNet,2,32,0.27
100,vgg19,ImageNet,2,32,0.41,"0,1",NA,vgg19,ImageNet,2,32,0.41
101,DCGAN,LSUN,2,128,0.88,"0,1",NA,resnet50,ImageNet,2,32,0.71
102,DCGAN,LSUN,2,128,0.45,"0,1",NA,vgg19,ImageNet,2,32,0.86
103,DCGAN,LSUN,2,128,0.74,"0,1",NA,DCGAN,LSUN,2,128,0.74
104,PointNet,ShapeNet,2,32,0.87,"0,1",NA,resnet50,ImageNet,2,32,0.71
105,PointNet,ShapeNet,2,32,0.87,"0,1",NA,vgg19,ImageNet,2,32,0.92
106,PointNet,ShapeNet,2,32,0.88,"0,1",NA,DCGAN,LSUN,2,128,0.93
107,PointNet,ShapeNet,2,32,0.88,"0,1",NA,PointNet,ShapeNet,2,32,0.88
108,resnet50,ImageNet,4,32,0.44,"0,1,2,3",NA,resnet50,ImageNet,4,32,0.44
109,vgg19,ImageNet,4,32,0.8,"0,1,2,3",NA,resnet50,ImageNet,4,32,0.33
110,vgg19,ImageNet,4,32,0.41,"0,1,2,3",NA,vgg19,ImageNet,4,32,0.41
111,DCGAN,LSUN,4,128,0.86,"0,1,2,3",NA,resnet50,ImageNet,4,32,0.67
112,DCGAN,LSUN,4,128,0.49,"0,1,2,3",NA,vgg19,ImageNet,4,32,0.85
113,DCGAN,LSUN,4,128,0.95,"0,1,2,3",NA,DCGAN,LSUN,4,128,0.97
114,PointNet,ShapeNet,4,32,0.81,"0,1,2,3",NA,resnet50,ImageNet,4,32,0.65
115,PointNet,ShapeNet,4,32,0.81,"0,1,2,3",NA,vgg19,ImageNet,4,32,0.92
116,PointNet,ShapeNet,4,32,0.83,"0,1,2,3",NA,DCGAN,LSUN,4,128,0.89
117,PointNet,ShapeNet,4,32,0.83,"0,1,2,3",NA,PointNet,ShapeNet,4,32,0.83
118,Bert-Large,WikiText,4,256/16,0.47,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,32,0.63
119,Bert-Large,WikiText,4,256/16,0.38,"0,1,2,3","6,6,6,6",vgg19,ImageNet,4,32,0.74
120,Bert-Large,WikiText,4,256/16,0.57,"0,1,2,3","6,6,6,6",DCGAN,LSUN,4,128,0.92
121,Bert-Large,WikiText,4,256/16,0.59,"0,1,2,3","6,6,6,6",PointNet,ShapeNet,4,32,0.84
122,Bert-Large,WikiText,4,256/16,0.55,"0,1,2,3","4,8,8,4",resnet50,ImageNet,4,32,0.67
123,Bert-Large,WikiText,4,256/16,0.37,"0,1,2,3","4,8,8,4",vgg19,ImageNet,4,32,0.78
124,Bert-Large,WikiText,4,256/16,0.58,"0,1,2,3","4,8,8,4",DCGAN,LSUN,4,128,0.99
125,Bert-Large,WikiText,4,256/16,0.59,"0,1,2,3","4,8,8,4",PointNet,ShapeNet,4,32,0.85
126,Bert-Large,WikiText,4,256/16,0.53,"0,1,2,3","2,8,8,6",resnet50,ImageNet,4,32,0.71
127,Bert-Large,WikiText,4,256/16,0.38,"0,1,2,3","2,8,8,6",vgg19,ImageNet,4,32,0.77
128,Bert-Large,WikiText,4,256/16,0.57,"0,1,2,3","2,8,8,6",DCGAN,LSUN,4,128,1.0
129,Bert-Large,WikiText,4,256/16,0.59,"0,1,2,3","2,8,8,6",PointNet,ShapeNet,4,32,0.84
130,Bert-Large,WikiText,4,256/16,0.49,"0,1,2,3","2,10,10,2",resnet50,ImageNet,4,32,0.71
131,Bert-Large,WikiText,4,256/16,0.33,"0,1,2,3","2,10,10,2",vgg19,ImageNet,4,32,0.79
132,Bert-Large,WikiText,4,256/16,0.56,"0,1,2,3","2,10,10,2",DCGAN,LSUN,4,128,0.99
133,Bert-Large,WikiText,4,256/16,0.58,"0,1,2,3","2,10,10,2",PointNet,ShapeNet,4,32,0.85
134,Bert-Large,WikiText,4,256/64,0.44,"0,1,2,3",TP24,resnet50,ImageNet,4,32,0.43
135,Bert-Large,WikiText,4,256/64,0.28,"0,1,2,3",TP24,vgg19,ImageNet,4,32,0.67
136,Bert-Large,WikiText,4,256/64,0.54,"0,1,2,3",TP24,DCGAN,LSUN,4,128,0.6
137,Bert-Large,WikiText,4,256/64,0.61,"0,1,2,3",TP24,PointNet,ShapeNet,4,32,0.86
138,Bert-Large,WikiText,4,256/16,0.76,"0,1,2,3",DP24,resnet50,ImageNet,4,32,0.37
139,Bert-Large,WikiText,4,256/16,0.53,"0,1,2,3",DP24,vgg19,ImageNet,4,32,0.66
140,Bert-Large,WikiText,4,256/16,0.88,"0,1,2,3",DP24,DCGAN,LSUN,4,128,0.51
141,Bert-Large,WikiText,4,256/16,0.98,"0,1,2,3",DP24,PointNet,ShapeNet,4,32,0.83
142,GPT2-Medium,WikiText,4,256/8,0.57,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,32,0.49
143,GPT2-Medium,WikiText,4,256/8,0.43,"0,1,2,3","6,6,6,6",vgg19,ImageNet,4,32,0.69
144,GPT2-Medium,WikiText,4,256/8,0.64,"0,1,2,3","6,6,6,6",DCGAN,LSUN,4,128,0.81
145,GPT2-Medium,WikiText,4,256/8,0.71,"0,1,2,3","6,6,6,6",PointNet,ShapeNet,4,32,0.83
146,GPT2-Medium,WikiText,4,256/8,0.61,"0,1,2,3","4,8,8,4",resnet50,ImageNet,4,32,0.61
147,GPT2-Medium,WikiText,4,256/8,0.43,"0,1,2,3","4,8,8,4",vgg19,ImageNet,4,32,0.74
148,GPT2-Medium,WikiText,4,256/8,0.71,"0,1,2,3","4,8,8,4",DCGAN,LSUN,4,128,0.97
149,GPT2-Medium,WikiText,4,256/8,0.79,"0,1,2,3","4,8,8,4",PointNet,ShapeNet,4,32,0.85
150,GPT2-Medium,WikiText,4,256/8,0.61,"0,1,2,3","2,8,8,6",resnet50,ImageNet,4,32,0.72
151,GPT2-Medium,WikiText,4,256/8,0.39,"0,1,2,3","2,8,8,6",vgg19,ImageNet,4,32,0.78
152,GPT2-Medium,WikiText,4,256/8,0.64,"0,1,2,3","2,8,8,6",DCGAN,LSUN,4,128,1.0
153,GPT2-Medium,WikiText,4,256/8,0.71,"0,1,2,3","2,8,8,6",PointNet,ShapeNet,4,32,0.85
154,GPT2-Medium,WikiText,4,256/8,0.5,"0,1,2,3","2,10,10,2",resnet50,ImageNet,4,32,0.68
155,GPT2-Medium,WikiText,4,256/8,0.36,"0,1,2,3","2,10,10,2",vgg19,ImageNet,4,32,0.77
156,GPT2-Medium,WikiText,4,256/8,0.57,"0,1,2,3","2,10,10,2",DCGAN,LSUN,4,128,1.0
157,GPT2-Medium,WikiText,4,256/8,0.64,"0,1,2,3","2,10,10,2",PointNet,ShapeNet,4,32,0.86
158,GPT2-Medium,WikiText,4,256/32,0.0,"0,1,2,3",TP24,resnet50,ImageNet,4,32,0.0
159,GPT2-Medium,WikiText,4,256/32,0.0,"0,1,2,3",TP24,vgg19,ImageNet,4,32,0.0
160,GPT2-Medium,WikiText,4,256/32,0.0,"0,1,2,3",TP24,DCGAN,LSUN,4,128,0.0
161,GPT2-Medium,WikiText,4,256/32,0.0,"0,1,2,3",TP24,PointNet,ShapeNet,4,32,0.0
162,GPT2-Medium,WikiText,4,256/8,0.0,"0,1,2,3",DP24,resnet50,ImageNet,4,32,0.0
163,GPT2-Medium,WikiText,4,256/8,0.0,"0,1,2,3",DP24,vgg19,ImageNet,4,32,0.0
164,GPT2-Medium,WikiText,4,256/8,0.0,"0,1,2,3",DP24,DCGAN,LSUN,4,128,0.0
165,GPT2-Medium,WikiText,4,256/8,0.0,"0,1,2,3",DP24,PointNet,ShapeNet,4,32,0.0
166,GPT2-XL,WikiText,8,256/4,0.75,"0,1,2,3,4,5,6,7","6,6,6,6,6,6,6,6",resnet50,ImageNet,8,32,0.46
167,GPT2-XL,WikiText,8,256/4,0.5,"0,1,2,3,4,5,6,7","6,6,6,6,6,6,6,6",vgg19,ImageNet,8,32,0.65
168,GPT2-XL,WikiText,8,256/4,0.75,"0,1,2,3,4,5,6,7","6,6,6,6,6,6,6,6",DCGAN,LSUN,8,128,0.66
169,GPT2-XL,WikiText,8,256/4,0.88,"0,1,2,3,4,5,6,7","6,6,6,6,6,6,6,6",PointNet,ShapeNet,8,32,0.81
170,GPT2-XL,WikiText,8,256/4,0.5,"0,1,2,3,4,5,6,7","3,3,3,6,6,9,9,9",resnet50,ImageNet,8,32,0.68
171,GPT2-XL,WikiText,8,256/4,0.38,"0,1,2,3,4,5,6,7","3,3,3,6,6,9,9,9",vgg19,ImageNet,8,32,0.81
172,GPT2-XL,WikiText,8,256/4,0.5,"0,1,2,3,4,5,6,7","3,3,3,6,6,9,9,9",DCGAN,LSUN,8,128,1.0
173,GPT2-XL,WikiText,8,256/4,0.62,"0,1,2,3,4,5,6,7","3,3,3,6,6,9,9,9",PointNet,ShapeNet,8,32,0.81
174,GPT2-XL,WikiText,8,256/4,0.5,"0,1,2,3,4,5,6,7","3,4,5,6,6,8,8,8",resnet50,ImageNet,8,32,0.7
175,GPT2-XL,WikiText,8,256/4,0.38,"0,1,2,3,4,5,6,7","3,4,5,6,6,8,8,8",vgg19,ImageNet,8,32,0.81
176,GPT2-XL,WikiText,8,256/4,0.62,"0,1,2,3,4,5,6,7","3,4,5,6,6,8,8,8",DCGAN,LSUN,8,128,1.0
177,GPT2-XL,WikiText,8,256/4,0.62,"0,1,2,3,4,5,6,7","3,4,5,6,6,8,8,8",PointNet,ShapeNet,8,32,0.81
178,GPT2-XL,WikiText,8,256/4,0.5,"0,1,2,3,4,5,6,7","4,5,8,7,7,8,5,4",resnet50,ImageNet,8,32,0.63
179,GPT2-XL,WikiText,8,256/4,0.38,"0,1,2,3,4,5,6,7","4,5,8,7,7,8,5,4",vgg19,ImageNet,8,32,0.72
180,GPT2-XL,WikiText,8,256/4,0.62,"0,1,2,3,4,5,6,7","4,5,8,7,7,8,5,4",DCGAN,LSUN,8,128,0.98
181,GPT2-XL,WikiText,8,256/4,0.75,"0,1,2,3,4,5,6,7","4,5,8,7,7,8,5,4",PointNet,ShapeNet,8,32,0.82
182,GPT2-XL,WikiText,8,256/2,0.0,"0,1,2,3,4,5,6,7",DP24,resnet50,ImageNet,8,32,0.0
183,GPT2-XL,WikiText,8,256/2,0.0,"0,1,2,3,4,5,6,7",DP24,vgg19,ImageNet,8,32,0.0
184,GPT2-XL,WikiText,8,256/2,0.0,"0,1,2,3,4,5,6,7",DP24,DCGAN,LSUN,8,128,0.0
185,GPT2-XL,WikiText,8,256/2,0.0,"0,1,2,3,4,5,6,7",DP24,PointNet,ShapeNet,8,32,0.0
186,GPT2-XL,WikiText,8,256/2,0.0,"0,1,2,3,4,5,6,7",TP24,resnet50,ImageNet,8,32,0.0
187,GPT2-XL,WikiText,8,256/2,0.0,"0,1,2,3,4,5,6,7",TP24,vgg19,ImageNet,8,32,0.0
188,GPT2-XL,WikiText,8,256/2,0.0,"0,1,2,3,4,5,6,7",TP24,DCGAN,LSUN,8,128,0.0
189,GPT2-XL,WikiText,8,256/2,0.0,"0,1,2,3,4,5,6,7",TP24,PointNet,ShapeNet,8,32,0.0
190,resnet50,ImageNet,8,32,0.55,"0,1,2,3,4,5,6,7",NA,resnet50,ImageNet,8,32,0.55
191,vgg19,ImageNet,8,32,0.78,"0,1,2,3,4,5,6,7",NA,resnet50,ImageNet,8,32,0.33
192,vgg19,ImageNet,8,32,0.4,"0,1,2,3,4,5,6,7",NA,vgg19,ImageNet,8,32,0.4
193,DCGAN,LSUN,8,128,0.88,"0,1,2,3,4,5,6,7",NA,resnet50,ImageNet,8,32,0.65
194,DCGAN,LSUN,8,128,0.51,"0,1,2,3,4,5,6,7",NA,vgg19,ImageNet,8,32,0.86
195,DCGAN,LSUN,8,128,0.95,"0,1,2,3,4,5,6,7",NA,DCGAN,LSUN,8,128,0.95
196,PointNet,ShapeNet,8,32,0.76,"0,1,2,3,4,5,6,7",NA,resnet50,ImageNet,8,32,0.65
197,PointNet,ShapeNet,8,32,0.75,"0,1,2,3,4,5,6,7",NA,vgg19,ImageNet,8,32,0.92
198,PointNet,ShapeNet,8,32,0.76,"0,1,2,3,4,5,6,7",NA,DCGAN,LSUN,8,128,0.94
199,PointNet,ShapeNet,8,32,0.77,"0,1,2,3,4,5,6,7",NA,PointNet,ShapeNet,8,32,0.76
